	Mean	Std	SR	t-stat	
Low=1	     1.008	     6.596	      .153	     1.933	
2	      .611	     7.093	      .086	      1.09	
3	      1.02	      6.33	      .161	     2.038	
4	       .67	     5.785	      .116	     1.464	
High=5	      .678	     5.902	      .115	     1.453	
Low-High(EW)	      .299	     1.929	      .155	     1.963	
	Mean	Std	SR	t-stat	
Low=1	      1.24	     4.697	      .264	      3.34	
2	     1.044	     4.756	       .22	     2.778	
3	     1.292	     5.394	      .239	     3.029	
4	     1.016	     4.832	       .21	     2.659	
High=5	     1.328	     5.031	      .264	      3.34	
Low-High(EW)	     -.116	     3.351	     -.035	     -.437	
